epoch,loss,acc
1,0.914767,0.657403
2,0.728326,0.733789
3,0.631614,0.766923
4,0.578891,0.790723
5,0.561286,0.795497
6,0.523931,0.808821
7,0.503623,0.816517
8,0.505168,0.815876
9,0.491534,0.821719
10,0.482849,0.826778
11,0.466175,0.831053
12,0.464491,0.832478
13,0.451897,0.838677
14,0.452602,0.835756
15,0.443598,0.839248
16,0.437016,0.843238
17,0.438211,0.843523
18,0.440595,0.84395
19,0.428817,0.846801
20,0.427769,0.849722
21,0.424294,0.851005
22,0.42538,0.849793
23,0.428575,0.848226
24,0.415005,0.85072
25,0.420516,0.852074
26,0.408676,0.854354
27,0.417851,0.852287
28,0.408757,0.853855
29,0.405424,0.856491
30,0.413021,0.853142
31,0.40856,0.853
32,0.407544,0.852715
33,0.410246,0.851147
34,0.398584,0.858059
35,0.406769,0.854853
36,0.401034,0.857275
37,0.399287,0.85927
38,0.400937,0.857988
39,0.405465,0.85642
40,0.403208,0.853214
41,0.397003,0.859413
42,0.401705,0.857346
43,0.404777,0.85813
44,0.392615,0.86098
45,0.397859,0.856705
46,0.392461,0.862049
47,0.395025,0.86098
48,0.399029,0.857774
49,0.403142,0.85471
50,0.391708,0.861052
51,0.397099,0.86041
52,0.394385,0.85813
53,0.390221,0.858914
54,0.392821,0.862619
55,0.396846,0.857774
56,0.386606,0.862121
57,0.385405,0.862406
58,0.383574,0.861479
59,0.392568,0.860624
60,0.385981,0.862548
