epoch,loss,acc
1,0.409673,0.846017
2,0.32615,0.880718
3,0.300235,0.88991
4,0.281097,0.89333
5,0.280258,0.896822
6,0.264779,0.90181
7,0.256306,0.90409
8,0.239017,0.910646
9,0.250472,0.907083
10,0.24174,0.910076
11,0.233874,0.910574
12,0.230583,0.912142
13,0.223159,0.916774
14,0.226928,0.915277
15,0.208326,0.92226
16,0.203731,0.925752
17,0.205259,0.923757
18,0.210173,0.920336
19,0.199861,0.926749
20,0.199371,0.926892
21,0.206196,0.924042
22,0.191205,0.929101
23,0.188266,0.928816
24,0.180915,0.931452
25,0.176398,0.934872
26,0.177571,0.932379
27,0.183091,0.932236
28,0.178652,0.933804
29,0.164355,0.940074
30,0.17774,0.932949
31,0.1649,0.939005
32,0.165542,0.940288
33,0.167741,0.936583
34,0.164163,0.937509
35,0.165918,0.939148
36,0.161764,0.939433
37,0.163887,0.939575
38,0.150369,0.944919
39,0.146741,0.945917
40,0.159658,0.941143
41,0.146424,0.946131
42,0.145662,0.946843
43,0.146344,0.946416
44,0.144741,0.946558
45,0.141435,0.949195
46,0.145662,0.945205
47,0.147364,0.9472
48,0.14089,0.948055
49,0.141029,0.947556
50,0.148231,0.944421
